Accession ID,Country,Lat,Long,group,population,SpFrostDay,AridityIndex,ClimWaterDeficit,CarbonFluxSp,DiurnalRange,TaveWarmestQtr,TColdestQtr,TminColdestMth,TminSp,PETsu,Precipitation,TempRange,TSeasonality,VaporPressureSp,ExcessSalts,RootingCond,SoilpH_KCL,Toxicity,CloudCoverSp,CloudCoverSu,OzoneSp,OzoneSu,SolarRadiationSp,SolarRadiationSu,UVindexSp,UVindexSu
88,FRA,47.4,0.683333,Ireland+UK+France,WesternEurope,5.5,0.681375802,-592.3228444,-0.00000127,19.14690208,19.83428574,4.841979027,-5.18786478,1.805898309,41.16666667,14.7826087,36.38308334,550.1400757,10.31333333,2,2,61,2,67.83666667,52.42666667,357.7905033,325.8172265,15045.33333,19358.33333,5.479738633,8.031372865
108,FRA,48.5167,-4.06667,Ireland+UK+France,WesternEurope,3.666666667,1.097396374,-394.3133545,-0.00000131,10.83677483,16.74720955,7.141009331,0.567872524,4.806860209,35.25720569,3.043478261,22.15140152,349.3696289,10.42333333,1,1,49,1,65.69666667,62.17666667,358.3631583,329.6349302,14432.66667,18218.33333,5.14509813,7.529411793
139,FRA,48.5167,-4.06667,Ireland+UK+France,WesternEurope,3.666666667,1.097396374,-394.3133545,-0.00000131,10.83677483,16.74720955,7.141009331,0.567872524,4.806860209,35.25720569,3.043478261,22.15140152,349.3696289,10.42333333,1,1,49,1,65.69666667,62.17666667,358.3631583,329.6349302,14432.66667,18218.33333,5.14509813,7.529411793
159,FRA,47.35,3.93333,Ireland+UK+France,WesternEurope,13.66666667,0.876388669,-428.0200195,-0.00000174,19.63680077,18.41896248,2.351086378,-7.843538761,-0.068109254,39.95833333,18.26086957,37.95319748,590.8034668,9.64,1,2,40,1,67.45,51.66666667,358.0768294,324.146981,14836,19675.66667,5.667973916,8.261438211
265,FRA,44.65,-1.16667,Ireland+UK+France,Admixed,2.5,0.744017363,-633.9334106,-1.49E-06,15.32760525,20.8843441,8.147514343,-0.442598581,5.727300723,44.41524608,11.73913044,30.14731407,467.7444458,11.02,0,0,44,0,64.52666667,45.14,353.8296361,323.4788818,15934.66667,20650,5.898039262,8.449673494
350,FRA,46.6667,4.11667,Ireland+UK+France,WesternEurope,12.73333333,0.832907856,-421.6266479,-0.00000214,19.69351006,20.31268311,3.584550142,-6.13430357,1.892787099,40.5,19.56521739,38.11236191,611.8666382,9.426666667,1,2,54,1,66.89,49.08666667,357.8382217,323.1925548,14980.66667,20070,5.814379136,8.407843431
351,FRA,46.6667,4.11667,Ireland+UK+France,WesternEurope,12.73333333,0.832907856,-421.6266479,-0.00000214,19.69351006,20.31268311,3.584550142,-6.13430357,1.892787099,40.5,19.56521739,38.11236191,611.8666382,9.426666667,1,2,54,1,66.89,49.08666667,357.8382217,323.1925548,14980.66667,20070,5.814379136,8.407843431
403,CZE,49.3667,16.2667,Other_Europe,CentralEurope,17.93333333,0.688993394,-437.9399719,-0.000000525,20.27671051,18.29759979,-1.299527407,-13.00416851,-0.814877351,37.95833333,24.7826087,43.03504562,724.6938477,7.883333333,1,2,51,1,66.93666667,62.46,361.1787174,323.3357183,14284,18530.66667,5.333333413,7.947712739
410,CZE,49.4211,16.3497,Other_Europe,CentralEurope,17.93333333,0.731422365,-402.2866821,-0.000000525,20.30493355,18.68540382,-0.972067416,-12.735466,-0.59993579,37.95833333,24.7826087,43.17034912,726.4515991,7.883333333,2,3,50,1,66.93666667,62.46,361.1787174,323.3357183,14231,18639.33333,5.333333413,7.947712739
424,CZE,49.4112,16.2815,Other_Europe,CentralEurope,17.93333333,0.679967344,-437.2466431,-0.000000525,20.29014778,17.88456345,-1.660825849,-13.41647243,-1.397669673,37.95833333,24.7826087,43.04757309,723.6505127,7.883333333,1,2,52,1,66.93666667,62.46,361.1787174,323.3357183,14222,18503.33333,5.333333413,7.947712739
428,CZE,49.403,16.232,Other_Europe,CentralEurope,17.93333333,0.68770659,-436.4266663,-0.000000525,20.27944946,17.88253021,-1.648629189,-13.39957905,-1.402603189,37.95833333,24.7826087,43.02457047,723.1293945,7.883333333,1,2,48,1,66.93666667,62.46,361.3696012,323.4788818,14232.66667,18495.33333,5.333333413,7.947712739
430,AUT,47,15.5,Other_Europe,CentralEurope,11.70666667,0.85543704,-307.3066711,-0.000000861,20.5156765,20.42375565,-0.151595578,-11.04825401,1.33353881,39.875,24.7826087,42.79904556,755.3487549,9.53,1,1,54,1,54.51333333,47.93,360.0811296,323.4788837,14436,18916.33333,5.793464104,8.449673494
470,USA,40.8313,-87.735,N.America,Germany,17.96666667,0.79453969,-429.9066467,0.000000363,26.13505554,23.36344719,-2.647711277,-19.24621582,-2.780891736,43.04166667,54.34782609,52.75974274,959.3551025,8.96,1,1,54,1,69.03666667,59.70666667,342.1856347,311.3099504,15905.66667,20709.66667,7.090196292,9.641830444
476,USA,40.8313,-87.735,N.America,Germany,17.96666667,0.79453969,-429.9066467,0.000000363,26.13505554,23.36344719,-2.647711277,-19.24621582,-2.780891736,43.04166667,54.34782609,52.75974274,959.3551025,8.96,1,1,54,1,69.03666667,59.70666667,342.1856347,311.3099504,15905.66667,20709.66667,7.090196292,9.641830444
484,USA,40.8313,-87.735,N.America,Germany,17.96666667,0.79453969,-429.9066467,0.000000363,26.13505554,23.36344719,-2.647711277,-19.24621582,-2.780891736,43.04166667,54.34782609,52.75974274,959.3551025,8.96,1,1,54,1,69.03666667,59.70666667,342.1856347,311.3099504,15905.66667,20709.66667,7.090196292,9.641830444
504,USA,40.8313,-87.735,N.America,Germany,17.96666667,0.79453969,-429.9066467,0.000000363,26.13505554,23.36344719,-2.647711277,-19.24621582,-2.780891736,43.04166667,54.34782609,52.75974274,959.3551025,8.96,1,1,54,1,69.03666667,59.70666667,342.1856347,311.3099504,15905.66667,20709.66667,7.090196292,9.641830444
506,USA,40.8313,-87.735,N.America,Germany,17.96666667,0.79453969,-429.9066467,0.000000363,26.13505554,23.36344719,-2.647711277,-19.24621582,-2.780891736,43.04166667,54.34782609,52.75974274,959.3551025,8.96,1,1,54,1,69.03666667,59.70666667,342.1856347,311.3099504,15905.66667,20709.66667,7.090196292,9.641830444
531,USA,40.8313,-87.735,N.America,Germany,17.96666667,0.79453969,-429.9066467,0.000000363,26.13505554,23.36344719,-2.647711277,-19.24621582,-2.780891736,43.04166667,54.34782609,52.75974274,959.3551025,8.96,1,1,54,1,69.03666667,59.70666667,342.1856347,311.3099504,15905.66667,20709.66667,7.090196292,9.641830444
